id,name,officialName,region,address,phone,weekdayHours,saturdayHours,sundayHours,weekdayLunch,saturdayLunch,sundayLunch,note,lat,lng,svgX,svgY,coordinateMatchStatus,coordinateAddressScore,naverMapUrl,welfarePortalUrl
01-맹호,맹호,맹호(영외),가평,경기도 가평군 조종면 청군로 1208,031-584-8487,10:0019:20,10:0017:00,휴무 또는 미제공,13:0014:00,13:0014:00,,마트정비의날 매월 4주차 수요일개점15:0019:20,37.82,127.51,616.14,315,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EB%A7%B9%ED%98%B8%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B0%80%ED%8F%89%EA%B5%B0%20%EC%A1%B0%EC%A2%85%EB%A9%B4%20%EC%B2%AD%EA%B5%B0%EB%A1%9C%201208,https://www.welfare.mil.kr
02-횃불,횃불,횃불(영외),가평,경기도 가평군 가평읍 승안리 65번지,031-581-6315,10:0019:20,10:0017:00,휴무 또는 미제공,13:0014:00,13:0014:00,,마트정비의날 매월3주차 수요일개점15:0019:20,37.83,127.51,616.14,308.22,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%ED%9A%83%EB%B6%88%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B0%80%ED%8F%89%EA%B5%B0%20%EA%B0%80%ED%8F%89%EC%9D%8D%20%EC%8A%B9%EC%95%88%EB%A6%AC%2065%EB%B2%88%EC%A7%80,https://www.welfare.mil.kr
03-광개토,광개토,광개토(영외),고양,경기도 고양시 덕양구 호국로1895,070-4251-4063,10:00~19:00,10:00~16:00,휴무 또는 미제공,13:00~14:00,12:30~13:00,,매월 마지막주 수요일 운영시간 (14:00~18:00),37.66,126.88,275.97,422.41,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EA%B4%91%EA%B0%9C%ED%86%A0%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B3%A0%EC%96%91%EC%8B%9C%20%EB%8D%95%EC%96%91%EA%B5%AC%20%ED%98%B8%EA%B5%AD%EB%A1%9C1895,https://www.welfare.mil.kr
04-권율,권율,권율(영외),고양,경기도 고양시 서오릉로500 141-7,02-352-8614,10:00~19:00,10:00~16:00,휴무 또는 미제공,,,,매월 마지막주 수요일 운영시간 (14:00~18:00),37.65,126.87,270.52,429.16,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EA%B6%8C%EC%9C%A8%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B3%A0%EC%96%91%EC%8B%9C%20%EC%84%9C%EC%98%A4%EB%A6%89%EB%A1%9C500%20141-7,https://www.welfare.mil.kr
05-북한산,북한산,북한산(영외),고양,경기도 고양시 덕양구 백운길27-41,070-4251-4086,10:00~19:00,10:00~16:00,휴무 또는 미제공,13:00~14:00,12:30~13:00,,매월 마지막주 수요일 운영시간 (14:00~18:00),37.67,126.89,281.41,415.66,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EB%B6%81%ED%95%9C%EC%82%B0%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B3%A0%EC%96%91%EC%8B%9C%20%EB%8D%95%EC%96%91%EA%B5%AC%20%EB%B0%B1%EC%9A%B4%EA%B8%B827-41,https://www.welfare.mil.kr
06-일산점,일산점,일산점(영외),고양,경기도 고양시 일산동구 고양대로 927,0507-1479-2214,10:00~19:00,10:00~16:00,휴무 또는 미제공,,,,매월 마지막주 수요일 운영시간 (14:00~18:00),37.67,126.79,227.42,415.28,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%9D%BC%EC%82%B0%EC%A0%90%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B3%A0%EC%96%91%EC%8B%9C%20%EC%9D%BC%EC%82%B0%EB%8F%99%EA%B5%AC%20%EA%B3%A0%EC%96%91%EB%8C%80%EB%A1%9C%20927,https://www.welfare.mil.kr
07-화전,화전,화전(영외),고양,경기도 고양시 덕양구 중앙로 142-18,02-3158-2501,10:00~19:00,10:00~16:00,휴무 또는 미제공,,,,매월 마지막주 수요일 운영시간 (14:00~18:00),37.64,126.86,265.07,435.9,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%ED%99%94%EC%A0%84%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B3%A0%EC%96%91%EC%8B%9C%20%EB%8D%95%EC%96%91%EA%B5%AC%20%EC%A4%91%EC%95%99%EB%A1%9C%20142-18,https://www.welfare.mil.kr
08-황룡,황룡,황룡(영외),김포,경기도 김포시 통진읍 검암1로 19,031-981-0761,10:00~19:00,10:00~17:00,휴무 또는 미제공,,,,"분리운영 평일 (월,수,금)      10:00~17:00(전 국방가족)       10:00~19:00(현역,현역가족)평일 (화,목)       10:00~19:00(전 국방",37.75,126.67,163.11,360.49,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%ED%99%A9%EB%A3%A1%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B9%80%ED%8F%AC%EC%8B%9C%20%ED%86%B5%EC%A7%84%EC%9D%8D%20%EA%B2%80%EC%95%941%EB%A1%9C%2019,https://www.welfare.mil.kr
09-불암산예약제,불암산예약제,불암산예약제(영외),남양주,경기도 남양주시 불암로 109번길 36,0507-1427-0585,10:30~19:30,10:30~15:00,휴무 또는 미제공,,,,차량예약제 운영 마트 마지막주 수요일 15:00~19:30 개점,37.66,127.14,416.36,423.14,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EB%B6%88%EC%95%94%EC%82%B0%EC%98%88%EC%95%BD%EC%A0%9C%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%82%A8%EC%96%91%EC%A3%BC%EC%8B%9C%20%EB%B6%88%EC%95%94%EB%A1%9C%20109%EB%B2%88%EA%B8%B8%2036,https://www.welfare.mil.kr
10-철마,철마,철마(영외),남양주,경기도 남양주시 진접읍 광릉내로 82번길 19-3,031-575-4108,10:0019:20,10:0017:00,휴무 또는 미제공,13:0014:00,13:0014:00,,마트정비의날 매월3주차 수요일개점15:0019:20,37.73,127.26,481.28,375.87,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%B2%A0%EB%A7%88%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%82%A8%EC%96%91%EC%A3%BC%EC%8B%9C%20%EC%A7%84%EC%A0%91%EC%9D%8D%20%EA%B4%91%EB%A6%89%EB%82%B4%EB%A1%9C%2082%EB%B2%88%EA%B8%B8%2019-3,https://www.welfare.mil.kr
